	caseid	turnout12	turnout12b	vote12	percent16	meet	givefut	info	march	sign	give12mo	compromise	ftobama	ftblack	ftwhite	fthisp	ftgay	ftjeb	fttrump	ftcarson	fthrc	ftrubio	ftcruz	ftsanders	ftfiorina	ftpolice	ftfem	fttrans	ftmuslim	ftsci	reg	demcand	repcand	vote16jb	vote16bc	vote16tc	vote16mr	vote16dt	presjob	lazyb	lazyw	lazyh	lazym	violentb	violentw	violenth	violentm	econnow	econ12mo	pid1d	pid2d	pid1r	pid2r	pidstr	pidlean	lcself	lcd	lcr	lchc	lcbo	lcdt	lcmr	lctc	srv_spend	campfin	immig_legal	immig_numb	equalpay	parleave	crimespend	death	terror_worry	terror_12mo	terror_local	relig_bc	relig_bcstr	relig_srv	relig_srvstr	incgap20	isis_troops	syrians_a	syrians_b	pc_a	pc_b	minwage	healthspend	childcare	getahead	ladder	finwell	warm	warmbad	warmcause	warmdo	freetrade	stopwhite	stopblack	forcewhite	forceblack	stop_12mo	arrested_12mo	charged_12mo	jailed_12mo	convict_12mo	famstop_12mo	stop_ever	arrested_ever	charged_ever	jailed_ever	convict_ever	famstop_ever	pk_deficit	pk_sen	pk_spend	birthright_a	birthright_b	femoff_jobs	femoff_ed	femoff_spend	femoff_issues	lpres_pleased	lpres_immig	lpres_la	vaccine	autism	bo_muslim	bo_confid	amer_ident	race_ident	whitework	whitejob	wguilt1	wguilt2	wguilt3	buycott	boycott	skintone_mob	skintone	skin_discrim	africanam10_1	white10_1	hispanic10_1	asianam10_1	nativeam10_1	other10_1	other10_open	birthyr	gender	race	race_other	educ	marstat	speakspanish	employ	employ_t	faminc	faminc2	state	votereg	pid3	pid7	ideo5	newsint	pew_bornagain	pew_churatd	religpew	religpew_t	ever_vs_12mo_rand
265	266.0	1		2.0	100	4	3	4	2	2	2	1	73.0	92.0	70	91.0	89.0	63.0	20.0	30.0	73.0	40.0	20.0	41.0	63.0	81.0	72.0	90.0	91.0	93.0	1	1	1.0		1.0	1.0			3	5	5	5	5	5	5	5	5	2	2	3.0	__NA__		__NA__		2.0	3	2	5	3	3	4	6	7	6	7	2	2	1	4	2	6	3.0	3.0	4	2	2.0	2	1.0	1	6	1.0		3.0		1	2	4	3	5	4	1	2	1	1	1	2	3	2	3	2.0	2.0	2.0	2.0	2.0	2.0							3	6.0	1	7.0			4.0		3.0	2	4.0		1	5	2	1.0	2	4	2.0	5.0	4.0	4.0	4.0	1	1	99	3.0	5	0.0	10.0	0.0	0.0	0	0.0	0	1967	1	1	__NA__	6	1	4	1.0	__NA__		99	13.0	1	3	3.0	3	1	1	4	1.0	__NA__	1
266	267.0	1		2.0	99	2	2	3	2	1	1	1	98.0	80.0	90	90.0	90.0	70.0	50.0	71.0	90.0	70.0	70.0	80.0	70.0	90.0	90.0	90.0	90.0	93.0	1	1	10.0			1.0	1.0		1	4	5	4	5	3	3	4	3	1	2	1.0	__NA__		__NA__	1.0		1	3	5	1	1	3	6	6	997	1	2	4	4	2	2	3	4.0		4	2	1.0	2	1.0	1	3		5.0		4.0	1	3	4	4	5	3	1	2	1	1	1	2	5	2	5	2.0	2.0	2.0	2.0	2.0	2.0							1	6.0	1		4.0	4.0		4.0		4	2.0		1	6	1	5.0	2	2						2	2	99	3.0	4	0.0	0.0	0.0	0.0	0	10.0	Pacific Islander	1956	1	7	__NA__	5	1	4	5.0	__NA__	11.0	99	6.0	1	1	1.0	2	1	2	4	1.0	__NA__	1
267	268.0	1		2.0	100	5	3	5	2	2	1	2	91.0	88.0	90	91.0	79.0	55.0	15.0	32.0	62.0	32.0	41.0	94.0	47.0	38.0	66.0	61.0	40.0	94.0	1	3	11.0	1.0				1.0	1	4	4	5	4	3	3	3	2	3	3		__NA__	1.0	__NA__	1.0		2	2	6	2	2	6	5	6	3	2	2	6	1	3	3	3		4.0	4	2	1.0	2	2.0	1	3	3.0		3.0		1	3	3	3	3	3	1	2	3	2	6	2	3	3	4							2.0	2.0	2.0	2.0	2.0	1.0	3	2.0	4		4.0		4.0		4.0	4	4.0		3	6	2	4.0	1	3	4.0	5.0	5.0	5.0	4.0	2	2	99	2.0	5	0.0	10.0	0.0	0.0	0	0.0		1933	2	1	__NA__	3	4	4	5.0	__NA__	2.0	99	6.0	1	1	1.0	3	2	2	4	1.0	__NA__	2
268	269.0	2			100	5	4	5	2	2	2	1	61.0	85.0	85	85.0	85.0	41.0	18.0	15.0	36.0	37.0	47.0	91.0	40.0	75.0	70.0	78.0	81.0	95.0	1	3	6.0		3.0			3.0	3	4	4	4	4	4	4	4	4	2	2	3.0	__NA__		__NA__		2.0	2	2	6	2	2	5	6	5	4	3	2	4	2	1	4	5	3.0		4	2	2.0	1	2.0	1	6	3.0			2.0	1	3	3	3	4	5	1	2	1	3	4	2	3	4	5							2.0	2.0	2.0	2.0	2.0	2.0	2	6.0	1		3.0		4.0	4.0		4	4.0		1	6	2	1.0	4	4	2.0	5.0	4.0	4.0	4.0	1	1	99	1.0	5	0.0	10.0	0.0	0.0	0	0.0		1996	1	1	__NA__	3	5	4	8.0	__NA__		99	25.0	1	3	4.0	2	2	2	6	11.0	__NA__	2
269	270.0	1		2.0	100	1	1	1	1	1	1	1	81.0	93.0	62	98.0	96.0	46.0	36.0	41.0	80.0	36.0	17.0	99.0	40.0	27.0	95.0	97.0	81.0	87.0	1	3	7.0	1.0				1.0	2	5	5	5	5	5	5	5	5	2	3		__NA__	1.0	__NA__	1.0		1	3	7	2	2	6	7	7	6	1	2	3	1	3	3	7	2.0	3.0	3	2	2.0	2	2.0	1	4		3.0		3.0	1	2	2	2	6	6	1	2	3	1	4	2	4	2	4	1.0	2.0	2.0	2.0	2.0	2.0							1	6.0	1		1.0	4.0		4.0		1		5.0	4	4	2	1.0	4	4	5.0	5.0	3.0	4.0	3.0	1	1	99	1.0	4	0.0		1.0	0.0	0	0.0		1955	1	1	__NA__	4	5	4	6.0	__NA__	3.0	99	6.0	1	1	1.0	1	1	2	5	2.0	__NA__	1
270	271.0	1		2.0	100	5	3	3	2	1	1	1	98.0	99.0	98	97.0	98.0	31.0	1.0	2.0	67.0	50.0	6.0	99.0	37.0	50.0	100.0	98.0	98.0	95.0	1	3	8.0	1.0	1.0				1	4	3	5	5	4	2	5	4	2	2	3.0	__NA__		__NA__		2.0	2	2	6	2	2	7	6	7	7	1	1	3	1	1	6	7		2.0	3	2	1.0	2	1.0	1	7		1.0		1.0	1	1	3	2	5	6	1	2	1	1	3	2	5	2	5	2.0	2.0	2.0	2.0	2.0	2.0							1	2.0	1	7.0			3.0		3.0	3	4.0		7	2	2	1.0	5	4	5.0	5.0	2.0	3.0	3.0	2	1	2	99.0	5	0.0		0.0	0.0	1	0.0		1952	2	1	__NA__	3	3	4	1.0	__NA__	6.0	99	50.0	1	3	3.0	2	1	2	6		__NA__	1
271	272.0	1		1.0	100	4	4	4	2	2	2	1		19.0	98	51.0	89.0	50.0	57.0	41.0	5.0	85.0	94.0	28.0	86.0	85.0	36.0	52.0		94.0	1	5	4.0	2.0		2.0			7	1	4	5	4	1	4	4	1	3	3		__NA__	2.0	__NA__	2.0		5	1	7	1	1	6	6	6	1	4	4	7	1	2	2	3	1.0	1.0	3	2	2.0	2	1.0	2	3	7.0		4.0		2	5	4	2	4	4	1	2	3	3	5	3	3	3	3							1.0	2.0	2.0	2.0	2.0	1.0	1	8.0	3		4.0		4.0	4.0		3		2.0	5	3	1	3.0	4	3	5.0	1.0	5.0	5.0	5.0	2	2	99	2.0	4	0.0	10.0	0.0	0.0	0	0.0		1975	2	1	__NA__	6	1	4	1.0	__NA__		99	12.0	1	2	6.0	4	3	2	5	1.0	__NA__	2
272	273.0	1		3.0	100	5	4	5	2	1	1	2	0.0	50.0	50	50.0	50.0	0.0	30.0	85.0	0.0	0.0	95.0	30.0	0.0	50.0	0.0	50.0	50.0	100.0	1	5	7.0	3.0	2.0				7	5	5	5	5	3	4	4	1	3	5	4.0	Libertarian		__NA__		1.0	5	1	6	3	3	4	4	7	1	7	1	1	7	7	7	7	4.0		5	1	1.0	1	1.0	1	7		4.0		4.0	4	7	7	5	1	4	1	3	2	7	4	3	5	3	5							2.0	2.0	2.0	2.0	2.0	2.0	1	6.0	1		7.0	1.0	1.0			5	2.0		7	2	2	1.0	1	5						2	2	99	3.0	5	0.0	0.0	10.0	0.0	0	0.0		1988	1	3	__NA__	2	5	2	8.0	__NA__	8.0	99	12.0	1	4	5.0	4	1	2	6	7.0	__NA__	2
273	274.0	1		1.0	100	4	3	3	1	2	2	2	1.0	50.0	50	50.0	50.0	51.0	53.0	60.0	1.0	66.0	60.0	1.0	60.0	96.0	50.0	50.0	50.0	80.0	1	5	3.0	2.0		2.0			6	5	5	5	5	5	5	5	5	3	3		__NA__	4.0	Libertarian		1.0	4	2	6	2	2	4	6	6	2	4	2	3	1	5	4	2		4.0	4	1	1.0	1	1.0	2	2	6.0			4.0	2	4	4	4	3	3	1	3	2	4	4	3	3	2	2							1.0	1.0	1.0	1.0	1.0	2.0	1	6.0	1		4.0			4.0	4.0	1		5.0	1	6	2	2.0	1	5	1.0	4.0	5.0	5.0	5.0	2	2	99	3.0	5	0.0		0.0	0.0	1	0.0		1957	1	1	__NA__	4	4	4	5.0	__NA__	12.0	99	41.0	1	4	5.0	5	1	1	4	1.0	__NA__	2
274	275.0	1		2.0	30	5	3	5	1	1	2	1	100.0	100.0	99	100.0	100.0	30.0	2.0	69.0	100.0	29.0	11.0	99.0	18.0	78.0	91.0	98.0	60.0	100.0	1	1	6.0		1.0		1.0		1	5	5	5	5	2	2	2	2	1	1	1.0	__NA__		__NA__	1.0		1	1	7	1	1	7	7	7	997	7	1	1	1	1	2	7	5.0		5	1	1.0	2	1.0	5	7		4.0	2.0		1	1	1	3	1	1	1	2	1	1	6	2	5	2	5	2.0	2.0	2.0	2.0	2.0	2.0							1	4.0	4		1.0			4.0	3.0	2		5.0	1	6	2	1.0	1	1						2	2	99	2.0	5	1.0	3.0	1.0	2.0	2	1.0		1947	2	3	__NA__	2	1	2	5.0	__NA__	97.0	99	48.0	1	1	2.0	2	1	2	2	2.0	__NA__	1
